Date,"Total mensal","Máximo diário"
1/3/1992,18.40,13.10
1/4/1992,40.40,23.00
1/5/1992,13.50,3.80
1/6/1992,21.10,11.50
1/7/1992,0.10,0.10
1/8/1992,5.00,4.80
1/9/1992,14.60,14.60
1/10/1992,53.10,29.40
1/11/1992,2.10,1.50
1/12/1992,282.70,90.00
1/1/1993,26.00,16.20
1/2/1993,29.10,14.30
1/3/1993,85.30,42.00
1/4/1993,34.00,12.10
1/5/1993,49.20,15.20
1/6/1993,1.50,0.70
1/7/1993,0.00,0.00
1/8/1993,0.90,0.80
1/9/1993,14.50,11.60
1/10/1993,89.50,28.80
1/11/1993,149.70,79.10
1/12/1993,1.00,0.80
1/1/1994,37.50,9.00
1/2/1994,60.10,17.40
1/3/1994,0.90,0.80
1/4/1994,26.90,13.80
1/5/1994,33.30,10.80
1/6/1994,0.20,0.10
1/7/1994,1.10,0.90
1/8/1994,0.10,0.10
1/9/1994,2.10,2.10
1/10/1994,31.00,11.60
1/11/1994,46.40,13.80
1/12/1994,44.40,18.40
1/1/1995,20.40,9.30
1/2/1995,33.30,27.00
1/3/1995,15.70,14.20
1/4/1995,14.60,13.00
1/5/1995,4.70,4.40
1/6/1995,11.60,10.20
1/7/1995,9.50,5.00
1/8/1995,0.00,0.00
1/9/1995,0.90,0.40
1/10/1995,19.20,16.50
1/11/1995,131.90,30.80
1/12/1995,258.40,68.30
1/1/1996,242.50,26.00
1/2/1996,55.90,30.00
1/3/1996,178.20,45.00
1/4/1996,30.90,17.00
1/5/1996,99.50,45.00
1/6/1996,0.00,0.00
1/7/1996,0.00,0.00
1/8/1996,0.00,0.00
1/9/1996,16.20,10.00
1/10/1996,17.00,11.00
1/11/1996,31.20,10.00
1/12/1996,294.70,73.00
1/1/1997,99.90,22.00
1/2/1997,0.00,0.00
1/3/1997,0.00,0.00
1/4/1997,28.60,10.00
1/5/1997,16.90,11.00
1/6/1997,25.90,19.00
1/7/1997,3.20,2.00
1/8/1997,0.00,0.00
1/9/1997,14.70,12.00
1/10/1997,59.80,23.00
1/11/1997,148.10,24.00
1/12/1997,112.50,25.20
1/1/1998,63.20,20.10
1/2/1998,77.30,25.70
1/3/1998,9.10,4.80
1/4/1998,15.30,8.40
1/5/1998,22.90,7.60
1/6/1998,0.50,0.20
1/7/1998,0.00,0.00
1/8/1998,0.10,0.10
1/9/1998,65.90,46.00
1/10/1998,2.60,2.00
1/11/1998,14.00,11.80
1/12/1998,16.20,14.40
1/1/1999,67.50,21.70
1/2/1999,2.20,1.80
1/3/1999,59.50,23.10
1/4/1999,10.90,6.00
1/5/1999,22.50,8.00
1/6/1999,0.00,0.00
1/7/1999,0.00,0.00
1/8/1999,0.60,0.30
1/9/1999,33.80,23.00
1/10/1999,107.80,22.00
1/11/1999,24.60,22.60
1/12/1999,23.50,9.50
1/1/2000,78.20,41.30
1/2/2000,4.40,4.00
1/3/2000,23.50,20.30
1/4/2000,109.80,28.60
1/5/2000,56.70,14.30
1/6/2000,0.00,0.00
1/7/2000,0.00,0.00
1/8/2000,0.10,0.10
1/9/2000,17.50,10.50
1/10/2000,7.80,2.40
1/11/2000,36.10,16.80
1/12/2000,139.20,60.70
1/1/2001,72.60,16.80
1/2/2001,40.40,28.70
1/3/2001,115.20,39.50
1/4/2001,0.00,0.00
1/5/2001,15.70,6.90
1/6/2001,0.00,0.00
1/7/2001,0.10,0.10
1/8/2001,0.00,0.00
1/9/2001,115.30,58.20
1/10/2001,51.50,20.40
1/11/2001,93.50,37.80
1/12/2001,188.40,60.10
1/1/2002,38.60,16.70
1/2/2002,6.20,3.20
1/3/2002,51.30,12.90
1/4/2002,40.40,14.90
1/5/2002,19.00,13.60
1/6/2002,0.40,0.40
1/7/2002,0.00,0.00
1/8/2002,0.20,0.20
1/9/2002,95.40,42.90
1/10/2002,91.80,46.50
1/11/2002,81.60,19.40
1/12/2002,71.70,17.40
1/1/2003,37.00,18.30
1/2/2003,57.60,15.50
1/3/2003,57.40,30.80
1/4/2003,77.60,20.40
1/5/2003,4.50,3.30
1/6/2003,1.90,1.90
1/7/2003,0.00,0.00
1/8/2003,0.60,0.60
1/9/2003,0.00,0.00
1/10/2003,122.50,31.70
1/11/2003,85.50,21.40
1/12/2003,78.10,19.90
1/1/2004,21.40,10.60
1/2/2004,112.20,57.90
1/3/2004,38.80,17.30
1/4/2004,10.90,8.20
1/5/2004,25.80,10.40
1/6/2004,0.00,0.00
1/7/2004,0.00,0.00
1/8/2004,2.20,1.60
1/9/2004,1.70,1.70
1/10/2004,37.40,12.40
1/11/2004,22.50,16.80
1/12/2004,41.90,15.90
1/1/2005,0.00,0.00
1/2/2005,8.00,3.80
1/3/2005,14.60,2.70
1/4/2005,0.90,0.90
1/5/2005,14.60,11.20
1/6/2005,1.90,1.90
1/7/2005,8.60,8.10
1/8/2005,0.00,0.00
1/9/2005,0.80,0.50
1/10/2005,107.20,19.00
1/11/2005,146.80,77.90
1/12/2005,64.60,20.60
1/1/2006,76.40,28.30
1/2/2006,45.60,18.00
1/3/2006,37.80,12.20
1/4/2006,40.50,16.10
1/5/2006,0.00,0.00
1/6/2006,16.90,7.30
1/7/2006,0.50,0.40
1/8/2006,13.00,13.00
1/9/2006,12.80,8.30
1/10/2006,87.40,20.50
1/11/2006,217.90,45.40
1/12/2006,34.10,20.30
1/1/2007,5.20,1.50
1/2/2007,38.80,10.80
1/3/2007,14.30,9.00
1/4/2007,12.40,3.00
1/5/2007,34.80,20.20
1/6/2007,2.80,2.40
1/7/2007,0.00,0.00
1/8/2007,59.10,53.90
1/9/2007,19.50,18.10
1/10/2007,57.20,28.70
1/11/2007,55.30,29.10
1/12/2007,100.90,50.00
1/1/2008,46.20,22.90
1/2/2008,73.00,16.20
1/3/2008,30.30,21.10
1/4/2008,110.90,47.90
1/5/2008,38.50,12.80
1/6/2008,0.00,0.00
1/7/2008,0.00,0.00
1/8/2008,0.00,0.00
1/9/2008,88.20,53.30
1/10/2008,30.70,17.20
1/11/2008,24.70,15.00
1/12/2008,42.90,14.30
1/1/2009,68.20,18.30
1/2/2009,62.30,25.20
1/3/2009,21.80,17.60
1/4/2009,45.90,26.70
1/5/2009,2.70,2.00
1/6/2009,2.20,1.60
1/7/2009,0.20,0.20
1/8/2009,0.00,0.00
1/9/2009,1.90,1.10
1/10/2009,17.90,12.00
1/11/2009,13.80,9.50
1/12/2009,267.70,40.50
1/1/2010,124.00,41.30
1/2/2010,157.90,25.40
1/3/2010,52.90,17.00
1/4/2010,60.90,25.80
1/5/2010,5.10,3.60
1/6/2010,7.70,7.40
1/7/2010,0.10,0.10
1/8/2010,0.00,0.00
1/9/2010,1.70,1.20
1/10/2010,45.80,27.40
1/11/2010,65.20,26.20
1/12/2010,196.70,35.40
1/1/2011,41.10,18.80
1/2/2011,49.40,21.40
1/3/2011,87.50,26.60
1/4/2011,48.30,18.40
1/5/2011,98.20,51.30
1/6/2011,0.00,0.00
1/7/2011,0.00,0.00
1/8/2011,0.20,0.10
1/9/2011,6.20,6.20
1/10/2011,61.20,40.70
1/11/2011,126.10,61.30
1/12/2011,8.10,5.50
1/1/2012,12.30,8.80
1/2/2012,0.00,0.00
1/3/2012,34.40,25.50
1/4/2012,27.80,6.00
1/5/2012,5.10,4.70
1/6/2012,0.00,0.00
1/7/2012,0.00,0.00
1/8/2012,0.00,0.00
1/9/2012,32.60,21.10
1/10/2012,32.20,15.60
1/11/2012,129.90,30.70
1/12/2012,30.50,14.40
1/1/2013,35.50,13.80
1/2/2013,11.60,3.30
1/3/2013,81.30,11.80
1/4/2013,9.60,2.60
1/5/2013,3.10,1.70
1/6/2013,0.00,0.00
1/7/2013,0.00,0.00
1/8/2013,0.60,0.20
1/9/2013,16.20,10.10
1/10/2013,53.20,19.20
1/11/2013,10.10,7.80
1/12/2013,25.50,14.50
1/1/2014,43.40,11.90
1/2/2014,26.90,3.20
1/3/2014,14.10,8.30
1/4/2014,44.80,23.60
1/5/2014,7.20,6.20
1/6/2014,13.00,8.10
1/7/2014,0.90,0.40
1/8/2014,0.10,0.10
1/9/2014,16.50,5.00
1/10/2014,87.00,37.90
1/11/2014,141.80,26.70
1/12/2014,9.60,9.60
1/1/2015,40.40,19.20
1/2/2015,11.20,8.40
1/3/2015,17.00,9.10
1/4/2015,13.90,8.90
1/5/2015,0.00,0.00
1/6/2015,0.90,0.90
1/7/2015,0.00,0.00
1/8/2015,0.00,0.00
1/9/2015,0.50,0.50
1/10/2015,119.50,30.60
1/11/2015,105.10,61.40
1/12/2015,34.50,15.90
1/1/2016,30.80,10.20
1/2/2016,21.70,8.00
1/3/2016,4.00,1.80
1/4/2016,39.20,9.90
1/5/2016,119.80,41.70
1/6/2016,0.00,0.00
1/7/2016,0.00,0.00
1/8/2016,0.00,0.00
1/9/2016,9.30,9.30
1/10/2016,74.10,43.20
1/11/2016,81.40,27.30
1/12/2016,95.40,33.10
1/1/2017,29.30,21.40
1/2/2017,83.70,35.30
1/3/2017,78.40,25.70
1/4/2017,21.20,18.00
1/5/2017,25.20,8.00
1/6/2017,0.00,0.00
1/7/2017,0.00,0.00
1/8/2017,5.60,4.70
1/9/2017,0.00,0.00
1/10/2017,7.50,4.20
1/11/2017,27.50,15.70
1/12/2017,39.90,20.60
1/1/2018,36.00,16.50
1/2/2018,19.20,12.70
1/3/2018,113.90,21.50
1/4/2018,90.30,28.80
1/5/2018,10.80,6.90
1/6/2018,32.70,20.40
1/7/2018,0.10,0.10
1/8/2018,0.70,0.60
1/9/2018,1.20,1.10
1/10/2018,48.10,13.10
1/11/2018,81.10,20.60
1/12/2018,5.90,4.70
1/1/2019,6.70,3.50
1/2/2019,31.10,13.80
1/3/2019,4.90,3.50
1/4/2019,33.30,11.80
1/5/2019,0.00,0.00
1/6/2019,0.40,0.40
1/7/2019,0.00,0.00
1/8/2019,0.00,0.00
1/9/2019,1.00,0.80
1/10/2019,23.80,16.50
1/11/2019,26.60,9.20
1/12/2019,48.40,14.30
1/1/2020,29.60,23.50
1/2/2020,0.90,0.90
1/3/2020,75.30,28.00
1/4/2020,83.10,20.70
1/5/2020,37.50,20.00
1/6/2020,12.00,6.30
1/7/2020,0.00,0.00
1/8/2020,0.00,0.00
1/9/2020,23.10,15.20
1/10/2020,91.40,56.10
1/11/2020,137.30,32.30
1/12/2020,45.90,18.50
